machine_id,site_session_id,domain_id.x,ref_domain_name,pages_viewed,duration,event_date.x,event_time.x,tran_flg,domain_name.x,prod_category_id,prod_name,domain_id.y,prod_qty,prod_totprice,basket_tot,event_date.y,event_time.y,domain_name.y
100278414,69947233472,2.43719E+18,NA,7,8,20140717,15:45:37,1,groupon.com,59,Five 60-minute dance lessons - Casa Salsa,2.44E+18,1,25,25,20140717,15:50:45,groupon.com
100284095,48599864634,4.04667E+18,NA,23,18,20141116,0:02:58,1,amazon.com,17,"Alexander Taron Rocking Horse Brown and White Pinto with Sounds 24""H x 12""W x 29""D  UnbeatableSale, Inc",4.05E+18,1,64.05,78.14,20141116,0:10:28,amazon.com
100288922,39004804445,4.04667E+18,NA,13,10,20141221,18:20:33,1,amazon.com,16,Pearl Drops Smokers Stain Removing Whitening Gel 50 Ml Toothpaste  DirectKart,4.05E+18,1,1.99,1.43,20141221,18:28:01,amazon.com
100288922,42807989580,7.57999E+18,google.com,35,35,20141204,0:36:48,1,fingerhut.com,99,WEED EATER 2-CYCLE GAS LEAF BLOWER Item No. NF309,7.58E+18,1,154.99,174.98,20141204,1:06:42,fingerhut.com
100288922,54963868990,4.04667E+18,NA,44,43,20141120,3:48:14,1,amazon.com,16,Lexmark 15M0120 #20 Color Ink Cartridge  Valerie Mckenzie,4.05E+18,1,1.49,0,20141120,4:23:41,amazon.com
100288922,54963868990,4.04667E+18,NA,44,43,20141120,3:48:14,1,amazon.com,30,Axiom Remanufactured Lexmark 17G0050 #50 Black Cartridge For Lexmark Z Series Z12 Z705 Z715 Z22 Z32  Axiom Inc.,4.05E+18,1,8.99,0,20141120,4:29:54,amazon.com
100288922,54963868990,4.04667E+18,NA,44,43,20141120,3:48:14,1,amazon.com,9,"Shimano CS-HG20 7-Speed Cassette, 12-28T  USBIKEBARGAINS",4.05E+18,1,13.45,0,20141120,4:03:02,amazon.com
100288922,55639414047,1.05842E+19,NA,51,30,20141020,0:42:04,1,ebay.com,30,(2-PACK) Black / Color Ink Cartridge Set for Lexmark Z700 Z705 Inkjet Printer,1.06E+19,1,9.95,12.94,20141020,0:58:26,ebay.com
100288922,55639414047,1.05842E+19,NA,51,30,20141020,0:42:04,1,ebay.com,30,(2-PACK) Black / Color Ink Cartridge Set for Lexmark Z710 Z715 Inkjet Printer,1.06E+19,1,9.95,12.94,20141020,0:55:24,ebay.com
100288922,81468986517,1.2224E+19,yahoo.com,16,26,20140604,17:22:53,1,norton.com,29,Norton 360,1.22E+19,1,49.99,49.99,20140604,17:47:02,norton.com
